rep,party,district,score_2016,score_lifetime
"Cohen, Steve",D,TN-09,100%,97%
"Gohmert, Louie",R,TX-01,0%,4%
"Poe, Ted",R,TX-02,0%,4%
"Johnson, Sam",R,TX-03,0%,3%
"Ratcliffe, John",R,TX-04,0%,0%
"Hensarling, Jeb",R,TX-05,0%,5%
"Barton, Joe",R,TX-06,0%,6%
"Culberson, John A.",R,TX-07,3%,4%
"Brady, Kevin P.",R,TX-08,0%,3%
"Green, Al",D,TX-09,95%,82%
"McCaul, Michael T.",R,TX-10,3%,6%
"Conaway, K. Michael",R,TX-11,0%,2%
"Granger, Kay",R,TX-12,3%,5%
"Thornberry, Mac",R,TX-13,0%,2%
"Weber, Randy K.",R,TX-14,0%,1%
"Hinojosa, Ruben",D,TX-15,92%,68%
"O'Rourke, Beto",D,TX-16,89%,94%
"Flores, Bill",R,TX-17,0%,3%
"Jackson Lee, Sheila",D,TX-18,92%,79%
"Neugebauer, Randy",R,TX-19,0%,2%
"Castro, Joaquin",D,TX-20,92%,94%
"Smith, Lamar S.",R,TX-21,0%,6%
"Olson, Pete",R,TX-22,0%,2%
"Hurd, Will",R,TX-23,3%,1%
"Marchant, Kenny E.",R,TX-24,0%,3%
"Williams, Roger",R,TX-25,0%,1%
"Burgess, Michael C.",R,TX-26,0%,3%
"Farenthold, Blake",R,TX-27,0%,3%
"Cuellar, Henry",D,TX-28,32%,42%
"Green, Gene",D,TX-29,82%,65%
"Johnson, Eddie Bernice",D,TX-30,95%,84%
"Carter, John R.",R,TX-31,0%,4%
"Sessions, Pete",R,TX-32,0%,2%
"Veasey, Marc A.",D,TX-33,84%,87%
"Vela, Filemon",D,TX-34,82%,71%
"Doggett, Lloyd A.",D,TX-35,100%,97%
"Babin, Brian",R,TX-36,0%,0%
"Bishop, Rob",R,UT-01,0%,2%
"Stewart, Chris",R,UT-02,0%,3%
"Chaffetz, Jason",R,UT-03,0%,3%
"Love, Mia",R,UT-04,3%,1%
"Welch, Peter F.",D,VT-AL,97%,94%
"Wittman, Rob",R,VA-01,0%,12%
"Rigell, Scott",R,VA-02,5%,8%
"Scott, Robert C.",D,VA-03,100%,90%
